year,h3_index,unique_id_count
2009-01-01 12:00:00,8a194ada5b67fff,1
2010-01-01 12:00:00,8a194ad1215ffff,1
2010-01-01 12:00:00,8a194ad95157fff,1
2010-01-01 12:00:00,8a194ada0537fff,1
2010-01-01 12:00:00,8a194ada0c97fff,1
2010-01-01 12:00:00,8a194ada0c9ffff,1
2010-01-01 12:00:00,8a194ada5b67fff,1
2010-01-01 12:00:00,8a194adb105ffff,1
2010-01-01 12:00:00,8a194e69a157fff,1
2010-01-01 12:00:00,8a195da4511ffff,1
2010-01-01 12:00:00,8a195da45187fff,1
2010-01-01 12:00:00,8a195da4a297fff,1
2010-01-01 12:00:00,8a195da4d4e7fff,1
2010-01-01 12:00:00,8a195da6819ffff,1
2011-01-01 12:00:00,8a194ac35c4ffff,1
2011-01-01 12:00:00,8a194ad0025ffff,1
2011-01-01 12:00:00,8a194ad03b9ffff,1
2011-01-01 12:00:00,8a194ad1215ffff,1
2011-01-01 12:00:00,8a194ad1321ffff,1
2011-01-01 12:00:00,8a194ad137a7fff,1
2011-01-01 12:00:00,8a194ad1416ffff,1
2011-01-01 12:00:00,8a194ad1425ffff,1
2011-01-01 12:00:00,8a194ad14a6ffff,1
2011-01-01 12:00:00,8a194ad14b8ffff,1
2011-01-01 12:00:00,8a194ad1538ffff,1
2011-01-01 12:00:00,8a194ad15da7fff,2
2011-01-01 12:00:00,8a194ad16467fff,1
2011-01-01 12:00:00,8a194ad1e38ffff,1
2011-01-01 12:00:00,8a194ad22017fff,1
2011-01-01 12:00:00,8a194ad24177fff,1
2011-01-01 12:00:00,8a194ad248affff,1
2011-01-01 12:00:00,8a194ad2e657fff,1
2011-01-01 12:00:00,8a194ad300e7fff,1
2011-01-01 12:00:00,8a194ad30a07fff,1
2011-01-01 12:00:00,8a194ad32267fff,1
2011-01-01 12:00:00,8a194ad322a7fff,1
2011-01-01 12:00:00,8a194ad322affff,1
2011-01-01 12:00:00,8a194ad3239ffff,1
2011-01-01 12:00:00,8a194ad33057fff,1
2011-01-01 12:00:00,8a194ad33c9ffff,1
