id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1188360581794048434,Haymarket Hostel 1-1 6p F,586070179,Andreas,,Deans Village,55.9466218,-3.2157021,Private room,33,1,12,2024-09-07,4.93,5,359,12,
1188368117794726207,Male Dorm Room - Edinburgh City,586070179,Andreas,,Deans Village,55.9466218,-3.2157021,Shared room,30,1,7,2024-08-09,3.39,5,362,7,
1188368522887064797,Female only Room Edinburgh City,586070179,Andreas,,Deans Village,55.9466218,-3.2157021,Shared room,53,1,1,2024-07-18,0.52,5,358,1,
1188402089599527974,1 Bed St Stephen Street New Town,456898948,Henry,,Stockbridge,55.958582201842894,-3.204476684331894,Entire home/apt,,3,6,2024-08-26,3.16,1,0,6,
1188513291633054209,Charming Comfortable Edinburgh Apartment,191891016,Valentina,,Gorgie East,55.9375464,-3.2263559,Entire home/apt,105,1,15,2024-09-10,6.82,15,60,15,
1188515908526571420,1 double bedroom,132828682,Ava,,Baberton and Juniper Green,55.91286341507774,-3.289160846806194,Private room,60,2,14,2024-09-10,5.75,1,326,14,
1188786925519521681,Stylish Top Floor Flat With Balcony,465734498,Jason,,Gorgie West,55.93402215273477,-3.2366705963108195,Entire home/apt,,2,8,2024-08-25,5.58,1,0,8,
1188810294010230622,Mixed Dorm Bed Edinburgh City,586070179,Andreas,,Deans Village,55.9466218,-3.2157021,Shared room,29,1,8,2024-09-13,3.29,5,361,8,
1188810965756680946,Modern 2 bedroom flat,224444157,Sue And Grant,,Marchmont East and Sciennes,55.9384554,-3.1864973,Entire home/apt,,3,6,2024-08-28,4.50,17,0,6,
1189014076046742396,Doble bedroom toilet in suite,259415960,Nathy,,Bonnington,55.9719937,-3.1877362,Private room,800,20,0,,,1,269,0,
1189264815667414974,Festival centered city viewflat,151081494,Yen,,"Canongate, Southside and Dumbiedykes",55.94611000713933,-3.1861228203629253,Entire home/apt,,2,9,2024-08-23,4.35,3,0,9,
1189336836044621776,The Old School in Dean Village,55898718,Marco,,Deans Village,55.9523476,-3.2172292,Entire home/apt,800,2,1,2024-08-05,0.75,8,0,1,EH-78751-T
1189475260156507770,The Georgian Penthouse,11594384,Charles,,New Town East and Gayfield,55.95688424627903,-3.1931263789604922,Entire home/apt,,4,0,,,2,1,0,
1189570733540928435,Haymarket Hostel 4-1 - 9p F,586070179,Andreas,,Deans Village,55.94747837770674,-3.215878457408669,Private room,29,1,9,2024-08-31,3.91,5,360,9,
1189660426905529564,Bright large double bedroom,350670035,Fanny,,The Grange,55.93491075521309,-3.1803108451742186,Private room,87,1,4,2024-09-11,2.40,1,226,4,
1189784390342448400,Lovely room in quiet New Town apartment,41358308,Jacqueline,,New Town West,55.954208429999234,-3.2084538766493105,Private room,103,2,14,2024-09-08,6.09,2,119,14,
1189785738338665698,Flat in Edinburgh (2 bedroom),586432019,Connor,,Craigmillar,55.93147221738802,-3.1334921669224687,Entire home/apt,181,2,10,2024-09-01,4.84,1,2,10,
1189793869532449046,Large en suite bedroom in New Town apartment,41358308,Jacqueline,,New Town West,55.955819177415,-3.206802563780524,Private room,139,2,15,2024-09-10,7.14,2,103,15,
1189797916914231701,Spacious 2 bedroom home in Bruntsfield,127808221,Natalie,,Polwarth,55.937009002330306,-3.218141364157905,Entire home/apt,,4,5,2024-09-08,2.59,1,0,5,
1189831559380121018,"Central, King bed private room",416432988,Samuel,,"Blackford, West Mains and Mayfield Road",55.924876665716305,-3.1849288504297615,Private room,93,2,14,2024-09-09,7.92,1,29,14,
1189860601849203731,Single Bed for One Guest,15864837,Matthew,,Granton West and Salvesen,55.97656119582032,-3.2500120152795047,Private room,49,1,9,2024-08-18,4.29,1,17,9,
1189914084929939713,Old House,454562196,Luiza Daniela,,"Old Town, Princes Street and Leith Street",55.95121204280602,-3.1845612823963165,Entire home/apt,229,1,7,2024-08-18,3.00,3,309,7,
1189923505061739700,2 bedroom flat in Edinburgh,78463498,Malgorzata,,Restalrig and Lochend,55.96185,-3.15268,Entire home/apt,120,1,18,2024-09-08,7.61,1,283,18,
1189928756812124314,Luxury flat with castle views,331170569,Joe,,Bruntsfield,55.938085,-3.2128443,Entire home/apt,175,25,1,2024-08-27,1,1,54,1,
1189941933556952340,Lovely En-suite Bedroom in central Edinburgh,50395535,Andy,,Broughton North and Powderhall,55.96728,-3.19559,Private room,116,1,11,2024-09-13,11,1,190,11,
1189950800473194495,"Bright, modern & central flat",1784906,Kevin,,Polwarth,55.93864,-3.21882,Entire home/apt,269,2,5,2024-08-19,3.57,1,33,5,
1189955656818300824,Perfect city break apartment,34297302,Irvine,,Broughton North and Powderhall,55.9634517,-3.1974605,Entire home/apt,150,4,3,2024-08-18,2.20,1,70,3,
1189960358587863180,NewTown - Perfect base in Edinburgh Room 1,96993889,Kristoffer Jay,,New Town West,55.9550917,-3.2056878,Private room,147,2,6,2024-09-08,5.45,2,47,6,
1189973535482059810,Large Bedroom for couple/Family,585505679,Just,,Trinity East and The Dudleys,55.97297,-3.19595,Private room,86,1,19,2024-08-26,8.14,1,41,19,
1190330339002711574,Beautiful Bright and Airy Flat,58744449,Merelle,,Corstorphine North,55.95176,-3.28242,Entire home/apt,120,4,0,,,1,100,0,
1190387431516483191,City central flat. Ideal location,163142551,Huishen,,Tollcross,55.9424691,-3.2043665,Entire home/apt,188,1,10,2024-08-16,4.84,1,27,10,
1190564297520624957,Georgian townhouse,102522048,Fiona,,Hillside and Calton Hill,55.957580698499626,-3.182490322254709,Entire home/apt,,3,1,2024-08-30,1,1,0,1,
1190762645185262774,Stay in Edinburgh,306459273,Wei Tze,,Gorgie East,55.94191346358975,-3.2281980510385226,Entire home/apt,,1,0,,,2,266,0,
1190918524635361151,"Modern 3 bedrm, 4th bedrm/lounge",57038487,Clare,,Morningside and Craighouse,55.92455085667968,-3.221193321798303,Entire home/apt,165,3,4,2024-08-19,2.03,3,20,4,
1191098901869189693,Cosy apartment close to the heart of Edinburgh,439074505,Travelnest,,Stenhouse and Saughton Mains,55.93135617119742,-3.263773931623424,Entire home/apt,510,1,1,2024-07-28,0.63,9,364,1,
1191128035090751451,Room in Edinburgh,306459273,Wei Tze,,Gorgie East,55.940048315481924,-3.226530824743318,Entire home/apt,,1,0,,,2,249,0,
1191129513320861533,Trinity Condo,351441713,Caitlin,,Trinity East and The Dudleys,55.97749,-3.19547,Entire home/apt,,1,0,,,4,0,0,
1191149676307206980,Trinity large group,351441713,Caitlin,,Trinity East and The Dudleys,55.97628,-3.1973,Entire home/apt,700,1,0,,,4,1,0,
1191198159362836183,9a.,586806680,David,,New Town East and Gayfield,55.95881019999999,-3.1928654,Entire home/apt,140,2,9,2024-08-29,4.66,1,51,9,
1191209306682013739,"Spacious Cozy Home, On Street Parking, Sleeps 4",597415,Daniela,,Restalrig and Lochend,55.9662,-3.15236,Entire home/apt,,1,5,2024-08-12,2.21,8,0,5,
1191210015253617286,GuestReady - Lovely nest in the Old Town,586806901,Cristiana,,Tollcross,55.94619,-3.1982,Entire home/apt,350,1,5,2024-09-05,2.46,1,90,5,
1191357977832434742,Edinburgh city break room,586864481,Shilpa,,Corstorphine South,55.93460349999999,-3.2942058,Private room,72,1,0,,,1,242,0,
1191361822159487683,Spacious single room,20727702,Mal,,South Leith,55.9686815,-3.1639573,Private room,,1,10,2024-09-12,7.50,1,0,10,
1191362203157957537,Little leith gem,75117839,Elliot,,The Shore and Constitution Street,55.9741,-3.16318,Entire home/apt,150,5,2,2024-09-08,2,1,176,2,
1191481619205936454,1 bed top floor flat,586911148,David,,West Pilton,55.97173,-3.2363596,Entire home/apt,,2,7,2024-08-26,5.68,1,0,7,
1191573676712973571,Lovely room in posh area,11062511,Sean,,Comely Bank,55.957411796195025,-3.219646304238524,Private room,131,1,0,,,2,343,0,
1191627049857979724,Simple and comfy flat.,453876383,Stephanie,,"Blackford, West Mains and Mayfield Road",55.9258579,-3.1768879,Entire home/apt,,3,0,,,1,0,0,EH-78733-T
1191717758830621250,"2 Bed, 2 bath modern apartment",193855046,Ryan,,Western Harbour and Leith Docks,55.97414,-3.15982,Private room,350,2,0,,,1,358,0,
1191837364361035750,Cozy bedroom at a shared house.,586993108,Gilnete,,The Inch,55.9193539,-3.1529732,Private room,60,1,19,2024-08-26,8.14,1,298,19,
1192093383249466479,Southside Serenity,43911026,Lokman,,"Gracemount, Southhouse and Burdiehouse",55.9071442,-3.156836,Entire home/apt,223,1,4,2024-09-12,3.24,1,235,4,
1192109740165617777,Beautiful bijou flat Leith,141478620,Kelly,,Great Junction Street,55.97274,-3.17281,Entire home/apt,149,1,5,2024-08-18,2.42,1,164,5,
1192144445093025464,Edinburgh Garden Oasis,13254398,Tristan,,Bruntsfield,55.93917,-3.20893,Entire home/apt,171,2,0,,,1,39,0,
1192506067177742864,2 bedroom ground fl free parking,107069393,Julie,,West Pilton,55.972252,-3.2349975,Entire home/apt,,3,10,2024-09-12,8.11,2,0,10,
1192518635800803796,Cozy Room In Edinburgh City,198521707,Lin,,Polwarth,55.93819,-3.2182,Private room,90,1,1,2024-08-25,1,4,337,1,
1192621197509565939,Tranquil 3-Bedroom Home in Edinburgh,77276931,Sami,,Gilmerton South and the Murrays,55.90311,-3.13237,Entire home/apt,350,5,1,2024-08-09,0.83,1,40,1,
1192674640813763997,Delux Bedroom with Kingsize Bed,128591402,Daria,,Restalrig (Loganlea) and Craigentinny West,55.95853169377132,-3.141136690669111,Private room,,3,10,2024-08-31,4.41,2,0,10,
1192682148101183240,Modern Quartermile Apartment,90072966,Nikita,,Meadows and Southside,55.9442,-3.1927,Entire home/apt,200,2,1,2024-09-07,1,1,301,1,
1192706259265234633,Entire Bright 2-bedroom Apt in Central Edinburgh,3347799,Craig,,Dalry and Fountainbridge,55.94513,-3.21399,Entire home/apt,203,2,6,2024-09-01,3.33,31,29,6,
1192761154995847654,Charming Detached House,37266740,Saffy,,"Blackford, West Mains and Mayfield Road",55.92961946039378,-3.1677210330963135,Private room,71,2,7,2024-08-18,3.23,1,245,7,
1192801700800366618,Family Huge Room,516760960,Moustafa,,Portobello,55.954915229043145,-3.117559030652046,Private room,120,1,5,2024-08-19,3.19,1,268,5,
1192855928989231511,Leith Walk Family Apartment,587297223,Alexander,,Bonnington,55.97427959621647,-3.1858279863849366,Entire home/apt,141,2,9,2024-09-05,4.58,2,67,9,
1193216006598480024,Comfy flat in Edinburgh Center EH8 Holyrood Area,587388082,Lilian,,"Canongate, Southside and Dumbiedykes",55.948264902260334,-3.1782034412026405,Entire home/apt,156,1,9,2024-08-26,5.29,1,113,9,
1193251654646767331,Superb en-suite room in Westfield-Adults Only,257768140,ALTIDO Scotland,,Gorgie West,55.93757974334413,-3.2432626303139522,Private room,,2,13,2024-08-21,7.50,19,0,13,
1193398271867500548,A central one bed flat & garden,20552248,Debbie,,Hillside and Calton Hill,55.96031471847427,-3.172419062350038,Entire home/apt,163,2,4,2024-08-11,1.94,1,54,4,
1193546733761980608,Double room in river side flat,587505855,Gareth,,Great Junction Street,55.97384174917177,-3.173901295028228,Private room,,1,11,2024-09-12,8.46,2,0,11,
1193584053032614747,Central Cosy Relaxing Edinburgh Retreat,134971356,Pete,,Easter Road and Hawkhill Avenue,55.96136,-3.17202,Entire home/apt,151,2,1,2024-09-12,1,2,8,1,EH-68019-F
1193595708697936774,West Edinburgh Townhouse,221235760,Diane,,East Craigs North,55.95289004283822,-3.302040696144104,Private room,,30,0,,,2,31,0,
1193599434999287268,West Edinburgh Townhouse,221235760,Diane,,East Craigs North,55.95297826761733,-3.3021406084299088,Private room,80,30,0,,,2,45,0,
1193732454037147126,"Riverside Cottage, Murrayfield, Edinburgh",272470168,Michael,,Murrayfield and Ravelston,55.95033839492783,-3.2312397166045286,Entire home/apt,,2,7,2024-08-26,3.33,1,0,7,
1193909470057409763,Cute flat near city centre,34422387,Talor,,Broughton South,55.963353763442235,-3.178346546971895,Entire home/apt,126,2,7,2024-09-12,7,1,127,7,
1193976718244547750,Cosy 3-bed flat in Old Town,257768140,ALTIDO Scotland,,"Old Town, Princes Street and Leith Street",55.94888509139455,-3.1881859755333064,Entire home/apt,187,2,1,2024-07-25,0.59,19,0,1,
1194037860839752863,Simpson Loan Quarter Mile 1 Bed,338764306,Dickins,,Meadows and Southside,55.94456,-3.19371,Entire home/apt,401,1,0,,,9,0,0,
1194042099714546966,Modern central 2 bedroom apartment with parking,459583827,Iain,,New Town East and Gayfield,55.9587,-3.18401,Entire home/apt,248,1,5,2024-08-18,4.05,5,336,5,
1194058649045622044,Modern central 2 bedroom apartment with parking,459583827,Iain,,New Town East and Gayfield,55.96018,-3.18435,Entire home/apt,250,1,1,2024-07-30,0.65,5,333,1,
1194065919649668805,Spacious family friendly 3 bedroom apartment,459583827,Iain,,New Town West,55.95771,-3.20429,Entire home/apt,244,1,2,2024-08-26,1.46,5,239,2,
1194085108495926543,Lovely studio near the city centre – Adults Only,257768140,ALTIDO Scotland,,The Grange,55.93636096963449,-3.178918053334562,Private room,630,2,20,2024-08-31,12.77,19,0,20,
1194115876206488517,Free Parking-Close to City-3 Bedrooms,130957143,Bernadett,,Parkhead and Sighthill,55.92531257616525,-3.273318260908127,Entire home/apt,179,2,4,2024-08-25,2.18,1,263,4,
1194146245411534313,Bright 2 Bed in Bruntsfield - City Centre,401838451,James,,Bruntsfield,55.9372365,-3.2086489,Entire home/apt,179,2,5,2024-09-10,4.29,1,163,5,
1194213389805634481,Cosy 2 bed property in Slateford area of city,280624469,Scott,,Gorgie West,55.935042076366905,-3.235276117703217,Entire home/apt,162,2,3,2024-09-07,3,1,15,3,
1194229981683532411,Cosy room in a warm flat,105290948,Ana,,Clovenstone and Wester Hailes,55.91386,-3.27253,Private room,29,10,3,2024-08-16,1.53,16,81,3,
1194301636868733193,Step into Serenity with Helen,490493563,Helen,,Gilmerton South and the Murrays,55.89574220251619,-3.144262433052063,Private room,80,3,4,2024-09-07,3.16,1,255,4,
1194343875901094852,Beautiful view of Pentland Hills,105290948,Ana,,Clovenstone and Wester Hailes,55.91246199540685,-3.2746593052180355,Private room,30,30,1,2024-08-02,0.70,16,82,1,
1194400597155379181,Stylish single room,96441624,Dagmara,,Great Junction Street,55.97249351878463,-3.1814737831222986,Private room,83,1,1,2024-07-15,0.49,1,69,1,
1194401619969987853,"2Bed-2Bath Flat, City Centre",324618789,Jozef,,"Old Town, Princes Street and Leith Street",55.9476196,-3.184835,Entire home/apt,240,2,11,2024-08-25,5.24,8,240,11,
1194710516403279163,Stylish 1-Bed Flat in Leith,60539946,Sam,,South Leith,55.96841788530803,-3.169654477860148,Entire home/apt,,1,1,2024-08-19,1,1,0,1,
1194728663097093218,Entire Ground Floor Apartment & Garden,54255009,Liam,,Meadowbank and Abbeyhill North,55.95976,-3.1688,Entire home/apt,,1,1,2024-08-19,1,2,0,1,
1194870127624754325,2 Bedroom Apartment in Leith,515109888,Shonagh,,Bonnington,55.96982152257664,-3.1856410774194863,Entire home/apt,,2,0,,,1,0,0,
1194880422000624229,Luxury 3 Bedroom Apartment,112860608,Hossam,,Morningside and Craighouse,55.92522919906633,-3.2217806679928103,Entire home/apt,,1,6,2024-09-06,4.62,1,46,6,
1194969563324028220,Central -5 mins walk to center,422481442,Xiaonan,,"Canongate, Southside and Dumbiedykes",55.94992602439938,-3.1777751864681796,Private room,65,3,7,2024-08-26,4.88,2,24,7,
1195045318337879048,Sweet home,328687089,Siddhartha,,West Pilton,55.96864,-3.2471,Entire home/apt,161,1,12,2024-09-08,6.10,1,218,12,
1195473316521984246,"Flat close to Old town, Princess St, Arthur Seat",40365616,Viktor,,Hillside and Calton Hill,55.95932579999999,-3.1709751,Entire home/apt,114,1,13,2024-09-11,7.22,7,49,13,
